Date,Open,High,Low,Close
2026-01-01,150,152.13,149,150
2026-01-02,150,151.61,149.83,151.51
2026-01-03,151.51,154.38,148.47,152.22
2026-01-04,152.22,152.83,150.93,151.32
2026-01-05,151.32,154.18,150.74,152.41
2026-01-06,152.41,153.52,151.37,153.39
2026-01-07,153.39,154.79,151.95,153.2
2026-01-08,153.2,153.96,150.64,150.87
2026-01-09,150.87,151.72,148.67,150.56
2026-01-10,150.56,154.08,148.07,151.92
2026-01-11,151.92,152.05,150.2,150.8
2026-01-12,150.8,152.13,147.5,149.69
2026-01-13,149.69,153.11,149.45,152.3
2026-01-14,152.3,152.92,151.57,152.61
2026-01-15,152.61,154.31,150.63,153.08
2026-01-16,153.08,155.2,152.01,152.2
2026-01-17,152.2,155.64,151.37,153
2026-01-18,153,154.8,151.79,152.37
2026-01-19,152.37,152.63,150.95,152.01
2026-01-20,152.01,152.78,149.99,151
2026-01-21,151,155.03,150.54,154.3
2026-01-22,154.3,156.65,154.04,155.7
2026-01-23,155.7,156.7,154.82,155.26
2026-01-24,155.26,161.43,154.69,158.88
2026-01-25,158.88,164.98,158.55,163.31
2026-01-26,163.31,171.12,162.75,170.15
2026-01-27,170.15,173.24,168.77,171.33
2026-01-28,171.33,172.18,168.3,169.52
2026-01-29,169.52,171.15,165.67,168.77
2026-01-30,168.77,172.7,167.33,171.76
2026-01-31,171.76,173.97,165.94,167.69
2026-02-01,167.69,169.14,164.67,165
2026-02-02,165,171.83,162.36,169.79
2026-02-03,169.79,171.41,169.07,171.19
2026-02-04,171.19,176.08,170.58,175.45
2026-02-05,175.45,176.61,169.24,170.37
2026-02-06,170.37,170.61,168.1,169.75
2026-02-07,169.75,169.89,168.84,168.84
2026-02-08,168.84,173,167.65,171.91
2026-02-09,171.91,174.8,169.91,172.64
2026-02-10,172.64,174.65,166.95,169.37
2026-02-11,169.37,169.42,167.87,167.97
2026-02-12,167.97,168.23,163.51,164.34
2026-02-13,164.34,164.86,158.61,161.49
2026-02-14,161.49,163.13,156.29,156.33
2026-02-15,156.33,158.46,152.02,152.19
2026-02-16,152.19,154.33,151.07,152.88
2026-02-17,152.88,152.97,151.6,152.64
2026-02-18,152.64,154.33,150.48,153.48
2026-02-19,153.48,157.32,151.52,153.83
2026-02-20,153.83,155.23,151.35,152.23
2026-02-21,152.23,156.35,150.65,155.36
2026-02-22,155.36,157.5,149.13,149.66
2026-02-23,149.66,152.32,147.4,148.96
2026-02-24,148.96,150.51,146.36,147.73
2026-02-25,147.73,147.93,145.17,146.48
2026-02-26,146.48,150.22,145.84,149.33
2026-02-27,149.33,153.91,148.03,152.6
2026-02-28,152.6,154.52,152.25,154.37
2026-03-01,154.37,156.66,151.35,152.24
2026-03-02,152.24,154.31,151.02,151.34
2026-03-03,151.34,152.79,150.77,152.12
2026-03-04,152.12,153.72,150.46,153.62
2026-03-05,153.62,154.17,151.98,153.59
2026-03-06,153.59,154.41,151.08,153.54
2026-03-07,153.54,154.72,151.67,152.55
2026-03-08,152.55,154.72,148.13,154.59
2026-03-09,154.59,156.53,147.91,150.18
2026-03-10,150.18,152.75,147.97,149.52
2026-03-11,149.52,153.97,147.79,153.42
2026-03-12,153.42,153.58,148.72,151.41
2026-03-13,151.41,159.67,150.28,159.44
2026-03-14,159.44,159.62,157.87,159.34
2026-03-15,159.34,159.7,157.56,158.14
2026-03-16,158.14,160.03,155.99,156.85
2026-03-17,156.85,157.52,154.29,155.28
2026-03-18,155.28,157.38,155.19,155.77
2026-03-19,155.77,160.85,155.69,159.32
2026-03-20,159.32,159.73,158.16,159.46
2026-03-21,159.46,161.04,158.78,159.77
2026-03-22,159.77,160.51,156.46,159.17
2026-03-23,159.17,160.92,158.82,160.77
2026-03-24,160.77,165.43,160.57,162.54
2026-03-25,162.54,163.9,160.63,162.73
2026-03-26,162.73,167.41,162.51,165.82
2026-03-27,165.82,166.59,163.88,165.68
2026-03-28,165.68,172.39,162.52,169.15
2026-03-29,169.15,171.13,167.72,168.19
2026-03-30,168.19,171.16,166.19,169.18
2026-03-31,169.18,173.91,168.1,172.08
2026-04-01,172.08,173.53,171.8,173.46
2026-04-02,173.46,178.38,172.22,176.47
2026-04-03,176.47,180.11,175.45,178.46
2026-04-04,178.46,183.75,177.13,182.47
2026-04-05,182.47,183.76,181.34,182.97
2026-04-06,182.97,188.33,182.67,187.4
2026-04-07,187.4,189.81,184.1,189.76
2026-04-08,189.76,191.38,182.12,182.87
2026-04-09,182.87,189.15,182.63,188.11
2026-04-10,188.11,189.47,186.92,188.14
